Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-03-18;ROT;95.2270171054;92.5877818232;96.1331781115;95.5477926328;93.1214279343;96.2743723073;95.2544158332;93.5975192472;95.4248936482;97.4791101294;99.2975066433;2021-03-18 00:00:00-ROT
2021-03-18;RWT;92.2980114491;93.3866604229;90.8490293666;92.7374644861;93.710588658;91.4994469298;87.8793934638;91.937786905;86.6532846715;97.8283572386;99.1805649282;2021-03-18 00:00:00-RWT
2021-03-20;NETZ;97.2292721546;95.8673499097;98.1597356765;97.7977555637;96.6120498138;98.4650518743;96.4888756359;95.8742236025;96.6031436737;98.6506394344;99.3656280283;2021-03-20 00:00:00-NETZ
2021-03-21;ROT;97.6585808273;96.1126964843;98.3546348597;98.3740703414;96.5889802149;99.0384866994;97.6231705217;96.4203951191;97.7549993631;99.0866558967;99.6319097295;2021-03-21 00:00:00-ROT
2021-03-21;RWT;96.3953923695;94.91685533;97.460966812;97.9839909469;97.6536963592;98.1695047366;94.9830969017;94.4232914923;95.1727135299;99.8773007392;99.4977578475;2021-03-21 00:00:00-RWT
2021-03-22;NETZ;94.3625355823;91.1231341516;96.3985259952;95.3117180633;92.3715730564;96.9814561474;93.7222122089;92.5289714754;93.9348587811;97.8161413815;99.0053476878;2021-03-22 00:00:00-NETZ
2021-03-22;ROT;97.2757706074;94.7338946123;98.1447037982;97.6534681051;95.0580766543;98.4293780017;96.3446407065;94.9921540656;96.4846426462;98.2007908947;99.2065979146;2021-03-22 00:00:00-ROT
2021-07-11;RWT;94.5915992505;93.5945391739;96.1342960531;94.8266303881;93.8492830691;96.1600058326;92.453396968;94.0392491468;91.9338427134;99.7828882466;99.4141619969;2021-07-11 00:00:00-RWT
2021-01-04;NETZ;96.0296447511;94.4262842012;97.0393759877;96.6551441138;95.3241951979;97.4136021246;95.2861614461;95.1328699323;95.3134591456;98.5184360647;99.4081058527;2021-01-04 00:00:00-NETZ
2021-01-04;RME;96.478273756;95.631043609;97.317273652;96.7636837147;95.7365035042;97.7017521506;96.4766728054;95.8575231157;96.6149633894;98.6301391884;99.3057527849;2021-01-04 00:00:00-RME
2021-01-04;ROT;96.447046489;92.9897743226;97.6343332067;97.1775814403;94.3572449677;98.0144143969;96.6685499305;95.0856895557;96.8267583701;98.1562389815;99.4782362115;2021-01-04 00:00:00-ROT
2020-12-28;RME;96.1966825383;95.1074531686;97.2755909871;96.451862584;95.3538914863;97.4506890194;94.9190286502;94.2840717891;95.0604121136;98.4142940917;99.1927025395;2020-12-28 00:00:00-RME
2020-12-28;ROT;98.0488247495;97.1966244982;98.3360680485;98.5073642309;97.5918784406;98.7772631486;97.4288702929;97.1299257567;97.459007427;98.4313216072;99.4482797646;2020-12-28 00:00:00-ROT
2020-12-28;RSD;77.6904026599;82.2781365994;73.507587426;82.7871847686;84.2470152759;81.5357632047;83.4763446916;85.020361991;82.7788225675;97.1151848272;98.0571428571;2020-12-28 00:00:00-RSD
2020-12-29;ROT;98.5023007426;97.1236397702;98.9662240619;98.9466671713;97.488858508;99.374969328;97.1695470018;96.8992569306;97.1968089706;98.6521504855;99.4115405783;2020-12-29 00:00:00-ROT
2020-12-29;RSD;94.8721435572;96.3014521098;93.6085844235;95.1520164805;96.1450458122;94.3854211454;93.2178166838;94.4594959496;92.7203389831;99.5663489336;99.4258872651;2020-12-29 00:00:00-RSD
2020-12-30;RWT;95.9505842947;96.0085108721;95.8732438263;96.3994636492;96.4602826551;96.3223481576;93.7924960889;94.7723998199;93.4836821568;98.8769692476;99.3437971092;2020-12-30 00:00:00-RWT
2020-12-31;NETZ;95.46761641;93.876000163;96.4509124751;96.3422865966;95.3628427194;96.8875337613;94.7908192879;94.9941337364;94.7543336175;98.0366444979;99.1885562047;2020-12-31 00:00:00-NETZ
2021-01-02;ROT;99.5747648076;98.9219959575;99.8673020592;99.6418224993;99.0467522916;99.861440256;98.7476965991;98.744405696;98.748049922;99.3425428299;99.7431204444;2021-01-02 00:00:00-ROT
2021-01-03;NETZ;98.3779265264;97.7352302729;98.8886354726;98.5404135291;98.0219149787;98.8887980679;97.5142645803;97.3792341679;97.5406250449;99.2981699374;99.6184951971;2021-01-03 00:00:00-NETZ
2021-02-07;RME;96.5331176425;95.8967741924;97.3243213384;96.5876798483;96.120440426;97.0911401507;96.1838907501;95.9671532847;96.2362188073;99.2957767286;99.5028016731;2021-02-07 00:00:00-RME
2021-02-07;RWT;93.1500408056;92.6211925232;94.0352394994;94.2171162742;94.0020225309;94.5410627254;92.1983923653;93.9964871194;91.5215110641;98.2283083711;99.1377497371;2021-02-07 00:00:00-RWT
2021-02-08;ROT;96.3818476497;94.072349835;97.1740446994;96.7105269451;94.3904599674;97.4032866042;95.6691791853;93.9270685243;95.8474970896;97.7440571817;99.2970920016;2021-02-08 00:00:00-ROT
2021-02-08;RSD;96.6590126728;96.7880501493;96.5448558521;96.7737123937;96.5261565028;96.9657571864;94.5684224116;95.6365678347;94.1376811594;99.8088935782;99.8412698413;2021-02-08 00:00:00-RSD
2021-03-06;NETZ;96.5495129992;94.4145078109;98.2443339828;97.3808130759;95.0819338808;98.9312283834;96.4541323947;95.1311402203;96.7077560746;98.6611326246;99.5220254534;2021-03-06 00:00:00-NETZ
2021-03-06;RSD;93.3578757009;92.7379401808;94.0190989759;94.7532684373;94.3265557297;95.1071662324;91.5754716981;93.1432637571;90.953313253;97.7238917516;98.9853438557;2021-03-06 00:00:00-RSD
2021-03-07;NETZ;96.9722527117;95.9268925313;97.8028861676;97.5246367434;96.3947175909;98.2873462255;96.2573234659;96.004022254;96.3070351462;98.7533016281;99.4812406747;2021-03-07 00:00:00-NETZ
2021-03-07;ROT;97.564656999;95.8637733312;98.3379040192;97.9021959677;96.0256239032;98.6045874549;97.4007412555;96.4802555168;97.5027016596;98.9324673471;99.527286267;2021-03-07 00:00:00-ROT
2021-03-08;RME;93.9962551994;93.4502151445;94.5377373443;94.8975560776;93.9340484552;95.7856868226;93.7828590964;92.8277027027;94.0022960999;97.3581785854;98.8105460675;2021-03-08 00:00:00-RME
2021-03-08;RSD;94.327530116;93.7439243385;94.8454024508;94.6659659969;93.9850227942;95.1920466285;92.6539064541;91.525664528;93.1038011696;98.6236550119;99.2576882291;2021-03-08 00:00:00-RSD
2021-03-09;ROT;95.6731124759;93.3788252527;96.4537430554;96.5423682285;94.0064464419;97.2954947392;93.7624273725;92.632183908;93.8791547958;97.4680947723;99.1413663599;2021-03-09 00:00:00-ROT
2021-03-09;RWT;93.7328246272;95.4270206528;91.5111918999;95.1170443456;96.4624903971;93.4206752159;90.2614156526;94.1782776971;89.0863570392;98.1134293287;98.6722232991;2021-03-09 00:00:00-RWT
2021-03-12;RME;94.6101386691;93.4087749443;95.8058563372;94.9976847877;93.9543856544;95.9553713309;93.081342552;92.5570801317;93.2027387685;97.9601528919;99.1604359397;2021-03-12 00:00:00-RME
2021-03-12;RWT;83.5381037758;82.6260371804;84.746062863;90.2371781071;90.1993560936;90.2841703515;85.438547486;89.7096236303;84.1299810247;97.1033666191;98.5140829452;2021-03-12 00:00:00-RWT
2021-01-31;NETZ;97.3786288028;96.0533198271;98.4171618559;98.1017423433;96.8183038579;98.9541850038;96.8511242896;96.326822332;96.95479298;99.238052788;99.6055642539;2021-01-31 00:00:00-NETZ
2021-01-31;RME;97.2074420341;96.6094482562;97.9792211261;97.5266740876;97.0223480805;98.0898740853;96.8419998839;96.3088192631;96.9753337203;99.3089065424;99.4937309655;2021-01-31 00:00:00-RME
2021-02-02;ROT;95.2972304479;94.5029586848;95.5690149662;95.9676502677;95.5312716199;96.097484711;94.1117609697;95.0827871188;94.0123552236;97.832008036;99.0922013765;2021-02-02 00:00:00-ROT
2021-02-02;RSD;91.902162968;90.5500704222;93.1141285363;91.7194552247;90.0823956309;92.9951978542;89.7634297521;88.8925657298;90.1103286385;98.5448406254;97.7023498695;2021-02-02 00:00:00-RSD
